ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-S;Image-URL-M;Image-URL-L
156006529;Where or When  : A Novel;Anita Shreve;1999;Harvest Books;http://images.amazon.com/images/P/0156006529.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0156006529.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0156006529.01.LZZZZZZZ.jpg
156027321;Life of Pi;Yann Martel;2003;Harvest Books;http://images.amazon.com/images/P/0156027321.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0156027321.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0156027321.01.LZZZZZZZ.jpg
156047624;All the King's Men;Robert Penn Warren;1982;Harvest Books;http://images.amazon.com/images/P/0156047624.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0156047624.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0156047624.01.LZZZZZZZ.jpg
156528207;The Little Prince;Antoine de Saint-Exupéry;1968;Harcourt;http://images.amazon.com/images/P/0156528207.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0156528207.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0156528207.01.LZZZZZZZ.jpg
192815318;Cranford (The World's Classics);Elizabeth Gaskell;1982;Oxford University Press;http://images.amazon.com/images/P/0192815318.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0192815318.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0192815318.01.LZZZZZZZ.jpg
195086295;What a Wonderful World: A Lifetime of Recordings;Bob Thiele;1995;Oxford University Press;http://images.amazon.com/images/P/0195086295.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0195086295.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0195086295.01.LZZZZZZZ.jpg
195153448;Classical Mythology;Mark P. O. Morford;2002;Oxford University Press;http://images.amazon.com/images/P/0195153448.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0195153448.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg
198320264;Julius Caesar (Oxford School Shakespeare);William Shakespeare;2001;Oxford University Press;http://images.amazon.com/images/P/0198320264.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0198320264.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0198320264.01.LZZZZZZZ.jpg
245542957;Pacific Northwest;Hans Johannes Hoefer;1985;Chambers Harrap Publishers Ltd;http://images.amazon.com/images/P/0245542957.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0245542957.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0245542957.01.LZZZZZZZ.jpg
304345350;Dictionary of Superstitions;David Pickering;1996;Sterling Pub Co Inc;http://images.amazon.com/images/P/0304345350.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0304345350.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0304345350.01.LZZZZZZZ.jpg
307001164;101 Dalmatians;Justine Korman;1996;Golden Books Publishing Company;http://images.amazon.com/images/P/0307001164.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0307001164.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0307001164.01.LZZZZZZZ.jpg
307115208;When I Grow Up (Little Look-Look);Mercer Mayer;1991;Golden Books;http://images.amazon.com/images/P/0307115208.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0307115208.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0307115208.01.LZZZZZZZ.jpg
307117375;The Volcano Machine (Dino-Riders);Jack Harris;1988;Golden Books;http://images.amazon.com/images/P/0307117375.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0307117375.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0307117375.01.LZZZZZZZ.jpg
307118703;My First Book about Space (Golden Look-Look Books (Paperback));Dinah L. Moche;1997;Golden Books;http://images.amazon.com/images/P/0307118703.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0307118703.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0307118703.01.LZZZZZZZ.jpg
307119424;The New Baby;MERCER MAYER;2001;Golden Books;http://images.amazon.com/images/P/0307119424.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0307119424.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0307119424.01.LZZZZZZZ.jpg
307128865;Disney's Pocahontas (Golden Look Look Books);Margo Lundell;1995;Random House Childrens Books;http://images.amazon.com/images/P/0307128865.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0307128865.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0307128865.01.LZZZZZZZ.jpg
308102282;Your Erroneous Zones;Wayne W. Dyer;1976;Harpercollins;http://images.amazon.com/images/P/0308102282.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0308102282.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0308102282.01.LZZZZZZZ.jpg
310201071;Hiding from Love;John Townsend;1996;Zondervan Publishing Company;http://images.amazon.com/images/P/0310201071.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0310201071.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0310201071.01.LZZZZZZZ.jpg
312143370;The Florence King Reader;Florence King;1996;St. Martin's Press;http://images.amazon.com/images/P/0312143370.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312143370.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312143370.01.LZZZZZZZ.jpg
312145543;Brewing Up a Storm: A John Thatcher Mystery;Emma Lathen;1996;St Martins Pr;http://images.amazon.com/images/P/0312145543.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312145543.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312145543.01.LZZZZZZZ.jpg
312148267;The Wind in the Willows;Kenneth Grahame;1996;St. Martin's Press;http://images.amazon.com/images/P/0312148267.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312148267.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312148267.01.LZZZZZZZ.jpg
312151144;Dreamhouse;Alison Habens;1997;Picador USA;http://images.amazon.com/images/P/0312151144.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312151144.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312151144.01.LZZZZZZZ.jpg
312156960;The Winter King: A Novel of Arthur (The Warlord Chronicles: I);Bernard Cornwell;1997;St. Martin's Griffin;http://images.amazon.com/images/P/0312156960.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312156960.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312156960.01.LZZZZZZZ.jpg
312169787;The Red Tent : A Novel;Anita Diamant;1997;St. Martin's Press;http://images.amazon.com/images/P/0312169787.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312169787.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312169787.01.LZZZZZZZ.jpg
312195516;The Red Tent (Bestselling Backlist);Anita Diamant;1998;Picador USA;http://images.amazon.com/images/P/0312195516.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312195516.01.LZZZZZZZ.jpg
312252617;Fast Women;Jennifer Crusie;2001;St. Martin's Press;http://images.amazon.com/images/P/0312252617.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312252617.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312252617.01.LZZZZZZZ.jpg
312261594;Female Intelligence;Jane Heller;2001;St. Martin's Press;http://images.amazon.com/images/P/0312261594.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312261594.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312261594.01.LZZZZZZZ.jpg
312278586;The Nanny Diaries: A Novel;Emma McLaughlin;2002;St. Martin's Press;http://images.amazon.com/images/P/0312278586.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312278586.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312278586.01.LZZZZZZZ.jpg
312283784;Alice's Tulips;Sandra Dallas;2001;St. Martin's Griffin;http://images.amazon.com/images/P/0312283784.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312283784.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312283784.01.LZZZZZZZ.jpg
312288115;Confessions of a Sociopathic Social Climber : The Katya Livingston Chronicles (Katya Livingston Chronicles (Hardcover));Adele Lang;2002;Thomas Dunne Books;http://images.amazon.com/images/P/0312288115.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312288115.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312288115.01.LZZZZZZZ.jpg
312305060;The Hours: A Novel;Michael Cunningham;2002;Picador;http://images.amazon.com/images/P/0312305060.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312305060.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312305060.01.LZZZZZZZ.jpg
312312628;Out of the Deep I Cry : A Clare Fergusson/Russ Van Alstyne Mystery;Julia Spencer-Fleming;2004;St. Martin's Minotaur;http://images.amazon.com/images/P/0312312628.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312312628.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312312628.01.LZZZZZZZ.jpg
312863934;Yarrow;Charles de Lint;1997;Orb Books;http://images.amazon.com/images/P/0312863934.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312863934.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312863934.01.LZZZZZZZ.jpg
312865104;Greenmantle;Charles de Lint;1998;Orb Books;http://images.amazon.com/images/P/0312865104.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312865104.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312865104.01.LZZZZZZZ.jpg
312868332;The Tooth Fairy;Graham Joyce;1999;Tor Books;http://images.amazon.com/images/P/0312868332.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312868332.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312868332.01.LZZZZZZZ.jpg
312869592;Jack of Kinrowan : Jack the Giant-Killer and Drink Down the Moon;Charles de Lint;1999;Tor Books;http://images.amazon.com/images/P/0312869592.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312869592.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312869592.01.LZZZZZZZ.jpg
312872682;"The James Dean Affair: A Neil Gulliver &amp; Stevie Marriner Novel";Robert S. Levinson;2000;St Martins Pr;http://images.amazon.com/images/P/0312872682.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312872682.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312872682.01.LZZZZZZZ.jpg
312873972;The Onion Girl;Charles De Lint;2001;Tor Books;http://images.amazon.com/images/P/0312873972.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312873972.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312873972.01.LZZZZZZZ.jpg
312874014;Tapping the Dream Tree;Charles de Lint;2002;Tor Books;http://images.amazon.com/images/P/0312874014.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312874014.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312874014.01.LZZZZZZZ.jpg
312875681;Forests of the Heart (Newford);Charles de Lint;2001;Tor Books;http://images.amazon.com/images/P/0312875681.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312875681.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312875681.01.LZZZZZZZ.jpg
312890044;Moonheart (Newford);Charles de Lint;1994;Orb Books;http://images.amazon.com/images/P/0312890044.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312890044.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312890044.01.LZZZZZZZ.jpg
312953453;Blood Oath;David Morrell;1994;St. Martin's Press;http://images.amazon.com/images/P/0312953453.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312953453.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312953453.01.LZZZZZZZ.jpg
312963009;Neanderthal: A Novel;John Darnton;1997;St. Martin's Press;http://images.amazon.com/images/P/0312963009.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312963009.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312963009.01.LZZZZZZZ.jpg
312965745;Secrets of St. John's Wort: A Lynn Sonberg Book;Larry Katzenstein;1998;St. Martin's Press;http://images.amazon.com/images/P/0312965745.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312965745.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312965745.01.LZZZZZZZ.jpg
312970242;The Angel Is Near;Deepak Chopra;2000;St. Martin's Press;http://images.amazon.com/images/P/0312970242.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312970242.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312970242.01.LZZZZZZZ.jpg
312974221;"Between Husbands &amp; Friends";Nancy Thayer;2001;St. Martin's Paperbacks;http://images.amazon.com/images/P/0312974221.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312974221.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312974221.01.LZZZZZZZ.jpg
312976275;Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel);Janet Evanovich;2001;St. Martin's Paperbacks;http://images.amazon.com/images/P/0312976275.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312976275.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312976275.01.LZZZZZZZ.jpg
312978383;Winter Solstice;Rosamunde Pilcher;2001;St. Martin's Paperbacks;http://images.amazon.com/images/P/0312978383.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312978383.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312978383.01.LZZZZZZZ.jpg
312980388;Warlock : A Novel of Ancient Egypt;Wilbur Smith;2002;St. Martin's Paperbacks;http://images.amazon.com/images/P/0312980388.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312980388.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312980388.01.LZZZZZZZ.jpg
312986769;In the Bleak Midwinter (A Rev. Clare Ferguson Mystery);Julia Spencer-Fleming;2003;St. Martin's Minotaur;http://images.amazon.com/images/P/0312986769.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312986769.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312986769.01.LZZZZZZZ.jpg
312988699;Nowhere To Run;Mary Jane Clark;2004;St. Martin's Paperbacks;http://images.amazon.com/images/P/0312988699.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312988699.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312988699.01.LZZZZZZZ.jpg
312990456;One for the Money (A Stephanie Plum Novel);Janet Evanovich;2003;St. Martin's Paperbacks;http://images.amazon.com/images/P/0312990456.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312990456.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312990456.01.LZZZZZZZ.jpg
312995423;Digital Fortress : A Thriller;Dan Brown;2003;St. Martin's Press;http://images.amazon.com/images/P/0312995423.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312995423.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312995423.01.LZZZZZZZ.jpg
312995431;A Fountain Filled With Blood (A Rev. Clare Ferguson Mystery);Julia Spencer-Fleming;2004;St. Martin's Paperbacks;http://images.amazon.com/images/P/0312995431.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0312995431.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0312995431.01.LZZZZZZZ.jpg
316096199;Lucky : A Memoir;Alice Sebold;2002;Back Bay Books;http://images.amazon.com/images/P/0316096199.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316096199.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316096199.01.LZZZZZZZ.jpg
316168815;The Lovely Bones;Alice Sebold;2004;Back Bay Books;http://images.amazon.com/images/P/0316168815.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316168815.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316168815.01.LZZZZZZZ.jpg
316171107;Like a Hole in the Head;Jen Banbury;1998;"Little Brown &amp; Co";http://images.amazon.com/images/P/0316171107.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316171107.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316171107.01.LZZZZZZZ.jpg
316314927;Sarah Conley;Ellen Gilchrist;1998;Back Bay Books;http://images.amazon.com/images/P/0316314927.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316314927.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316314927.01.LZZZZZZZ.jpg
316569321;White Oleander : A Novel;Janet Fitch;1999;Little, Brown;http://images.amazon.com/images/P/0316569321.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316569321.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316569321.01.LZZZZZZZ.jpg
316601950;The Pilot's Wife : A Novel;Anita Shreve;1999;Back Bay Books;http://images.amazon.com/images/P/0316601950.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316601950.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316601950.01.LZZZZZZZ.jpg
316602906;The Big Bad Wolf: A Novel;James Patterson;2003;Little, Brown;http://images.amazon.com/images/P/0316602906.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316602906.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316602906.01.LZZZZZZZ.jpg
316666009;1st to Die: A Novel;James Patterson;2001;Little Brown and Company;http://images.amazon.com/images/P/0316666009.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316666009.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316666009.01.LZZZZZZZ.jpg
316666343;The Lovely Bones: A Novel;Alice Sebold;2002;Little, Brown;http://images.amazon.com/images/P/0316666343.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316666343.01.LZZZZZZZ.jpg
316693006;Four Blind Mice;James Patterson;2002;Little, Brown;http://images.amazon.com/images/P/0316693006.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316693006.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316693006.01.LZZZZZZZ.jpg
316735736;All He Ever Wanted: A Novel;Anita Shreve;2004;Back Bay Books;http://images.amazon.com/images/P/0316735736.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316735736.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316735736.01.LZZZZZZZ.jpg
316748641;Pasquale's Nose: Idle Days in an Italian Town;Michael Rips;2002;Back Bay Books;http://images.amazon.com/images/P/0316748641.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316748641.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316748641.01.LZZZZZZZ.jpg
316769487;The Catcher in the Rye;J.D. Salinger;1991;Little, Brown;http://images.amazon.com/images/P/0316769487.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg
316776963;Me Talk Pretty One Day;David Sedaris;2001;Back Bay Books;http://images.amazon.com/images/P/0316776963.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316776963.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316776963.01.LZZZZZZZ.jpg
316778508;The Dogs of Babel : A Novel;Carolyn Parkhurst;2004;Back Bay Books;http://images.amazon.com/images/P/0316778508.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316778508.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316778508.01.LZZZZZZZ.jpg
316899984;River, Cross My Heart;Breena Clarke;1999;"Little Brown &amp; Company";http://images.amazon.com/images/P/0316899984.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316899984.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316899984.01.LZZZZZZZ.jpg
316973742;The Gospel of Judas: A Novel;Simon Mawer;2002;Back Bay Books;http://images.amazon.com/images/P/0316973742.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0316973742.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0316973742.01.LZZZZZZZ.jpg
330332775;Bridget Jones's Diary;Helen Fielding;1997;Picador (UK);http://images.amazon.com/images/P/0330332775.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0330332775.01.LZZZZZZZ.jpg
330484516;Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title);Rachel Harris;2001;Pan Macmillan;http://images.amazon.com/images/P/0330484516.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0330484516.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0330484516.01.LZZZZZZZ.jpg
340718153;My Legendary Girlfriend;Mike Gayle;2002;Trafalgar Square;http://images.amazon.com/images/P/0340718153.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0340718153.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0340718153.01.LZZZZZZZ.jpg
340767936;Turning Thirty;Mike Gayle;2000;"Hodder &amp; Stoughton General Division";http://images.amazon.com/images/P/0340767936.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0340767936.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0340767936.01.LZZZZZZZ.jpg
345251733;Rainbow the Stormy Life of Judy Garland;Christopher Finch;0;Ballantine Books;http://images.amazon.com/images/P/0345251733.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345251733.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345251733.01.LZZZZZZZ.jpg
345260317;The Dragons of Eden: Speculations on the Evolution of Human Intelligence;Carl Sagan;1978;Ballantine Books;http://images.amazon.com/images/P/0345260317.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345260317.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345260317.01.LZZZZZZZ.jpg
345294688;Bloodcurdling Tales of Horror;H. P. Lovecraft;1982;Del Rey Books;http://images.amazon.com/images/P/0345294688.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345294688.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345294688.01.LZZZZZZZ.jpg
345297709;Centaur Aisle;Piers Anthony;1982;Ballantine Books;http://images.amazon.com/images/P/0345297709.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345297709.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345297709.01.LZZZZZZZ.jpg
345311396;Private Screening;Richard North Patterson;1994;Ballantine Books;http://images.amazon.com/images/P/0345311396.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345311396.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345311396.01.LZZZZZZZ.jpg
345313097;Crewel Lye;Piers Anthony;1985;Ballantine Books;http://images.amazon.com/images/P/0345313097.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345313097.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345313097.01.LZZZZZZZ.jpg
345313860;The Vampire Lestat (Vampire Chronicles, Book II);ANNE RICE;1986;Ballantine Books;http://images.amazon.com/images/P/0345313860.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345313860.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345313860.01.LZZZZZZZ.jpg
345335465;Dragonflight (Dragonriders of Pern Trilogy (Paperback));Anne McCaffrey;1991;Del Rey Books;http://images.amazon.com/images/P/0345335465.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345335465.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345335465.01.LZZZZZZZ.jpg
345342445;Citizen of the Galaxy;ROBERT A. HEINLEIN;1987;Del Rey;http://images.amazon.com/images/P/0345342445.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345342445.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345342445.01.LZZZZZZZ.jpg
345348036;The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure;WILLIAM GOLDMAN;1987;Del Rey;http://images.amazon.com/images/P/0345348036.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345348036.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345348036.01.LZZZZZZZ.jpg
345348656;Lord Foul's Bane (The Chronicles of Thomas Covenant the Unbeliever, Book 1);Stephen R. Donaldson;1984;Del Rey Books;http://images.amazon.com/images/P/0345348656.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345348656.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345348656.01.LZZZZZZZ.jpg
345350499;The Mists of Avalon;MARION ZIMMER BRADLEY;1987;Del Rey;http://images.amazon.com/images/P/0345350499.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345350499.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345350499.01.LZZZZZZZ.jpg
345350596;Star Beast;ROBERT A. HEINLEIN;1987;Del Rey;http://images.amazon.com/images/P/0345350596.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345350596.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345350596.01.LZZZZZZZ.jpg
345353625;Her Mother's Daughter;Marilyn French;1990;Ballantine Books;http://images.amazon.com/images/P/0345353625.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345353625.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345353625.01.LZZZZZZZ.jpg
345354931;Night Mare (Xanth Novels (Paperback));Piers Anthony;1990;Del Rey Books;http://images.amazon.com/images/P/0345354931.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345354931.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345354931.01.LZZZZZZZ.jpg
345357019;Roofworld;Christopher Fowler;1988;Ballantine Books;http://images.amazon.com/images/P/0345357019.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345357019.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345357019.01.LZZZZZZZ.jpg
345369068;If Ever I Return, Pretty Peggy-O;Sharyn McCrumb;1991;Fawcett Books;http://images.amazon.com/images/P/0345369068.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345369068.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345369068.01.LZZZZZZZ.jpg
345369947;The Mummy or Ramses the Damned;Anne Rice;1991;Ballantine Books;http://images.amazon.com/images/P/0345369947.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345369947.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345369947.01.LZZZZZZZ.jpg
345371984;Last Chance to See;Douglas Adams;1992;Ballantine Books;http://images.amazon.com/images/P/0345371984.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345371984.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345371984.01.LZZZZZZZ.jpg
345372700;If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground;LEWIS GRIZZARD;1991;Ballantine Books;http://images.amazon.com/images/P/0345372700.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345372700.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345372700.01.LZZZZZZZ.jpg
345374657;Diet for a Poisoned Planet: How to Choose Safe Foods for You and Your Family;David Steinman;1992;Ballantine Books;http://images.amazon.com/images/P/0345374657.01.THUMBZZZ.jpg;http://images.amazon.com/images/P/0345374657.01.MZZZZZZZ.jpg;http://images.amazon.com/images/P/0345374657.01.LZZZZZZZ.jpg
